"terms","prob"
"the",0.0422571224479023
"to",0.0276759811184361
"and",0.0230269631934899
"a",0.0227183212558731
"i",0.0225902111542655
"of",0.0185745626778978
"in",0.0147858356820202
"you",0.0125054184250425
"is",0.011646276465667
"for",0.0111743372348953
"it",0.0108972919591339
"that",0.010511956306017
"on",0.00821186294618749
"my",0.00809093390410921
"with",0.00681916826567988
"this",0.00618824037757273
"was",0.00590545025428116
"be",0.00585374662584908
"have",0.00574287106710155
"at",0.00546826735166225
"are",0.00516939165511353
"but",0.00497061992805771
"me",0.00496559318640539
"we",0.00485687194552682
"so",0.00479224240999927
"as",0.00446406799072666
"not",0.00444870052339168
"all",0.0039592395077568
"your",0.00395450000848616
"just",0.0036784600812871
"from",0.003552504297662
"out",0.00337929714254496
"what",0.00333319474056457
"up",0.00332658816582609
"he",0.00327574626457879
"like",0.00325219238942537
"they",0.00322117021239469
"or",0.00321039862314812
"if",0.00314131683078247
"one",0.00313155058986622
"about",0.00308200127933674
"will",0.00308157041576694
"s",0.00304250545210474
"can",0.00295001340579303
"do",0.0029257414246972
"by",0.0027687634641353
"when",0.00275756101132418
"get",0.00268144178068903
"an",0.00263763731778007
"time",0.00247563261563825
"i'm",0.00241904586685135
"there",0.00240726892928732
"more",0.00229955303694682
"his",0.00225905186143344
"some",0.00221740171640606
"had",0.00221438567142149
"love",0.0022133803230933
"no",0.00217388449591665
"our",0.00216986310260435
"good",0.00216383101263598
"who",0.00215851702861631
"has",0.00214602198511091
"her",0.00213381418398538
"now",0.00212203724642937
"how",0.00211701050478973
"day",0.00208440849472875
"know",0.00202193327722025
"would",0.00199435800880681
"she",0.0018999988872253
"it's",0.00187041292217039
"been",0.0018455664563747
"new",0.00182445414150997
"them",0.00176786739283515
"their",0.00176786739283515
"see",0.00171372220439735
"go",0.00167968398249636
"people",0.00167250292302442
"back",0.00161146391752571
"were",0.00160327750973123
"t",0.00158704831533299
"great",0.00156220184957639
"don't",0.00151940273516239
"think",0.00151925911397311
"us",0.00147315671222128
"make",0.00144313988367614
"going",0.00142561809859618
"too",0.00141671358486814
"today",0.00141312305513931
"thanks",0.00141039425254548
"then",0.00140091525406223
"really",0.00138942555893224
"only",0.00138195725709847
"much",0.00137491981883258
"am",0.00131905117629209
"well",0.00130425819382606
"rt",0.0012893215901738
"which",0.00127682654673614
"into",0.00126993272966797
"got",0.00126662944232304
"want",0.00126203356427816
"way",0.00126074097357808
"over",0.0012481023089564
"first",0.00124494264280132
"u",0.00124365005210156
"than",0.00123330932650436
"because",0.00122052704069889
"here",0.00119855299881444
"need",0.00119424436315173
"work",0.00119323901483047
"him",0.00118993572748931
"right",0.00117858965357974
"even",0.00116207321687986
"did",0.00114785471920293
"other",0.00114498229543026
"also",0.00112860947992898
"still",0.00112085393574594
"life",0.00110175231767061
"last",0.00109528936418817
"could",0.00107963465464549
"said",0.00107503877661562
"after",0.0010743206706735
"off",0.00106871944432532
"its",0.00106742685362969
"very",0.00105722974925439
"lol",0.00105378284073371
"any",0.00100222283414701
"year",0.000986711745828332
"where",0.000984701049194934
"come",0.000977663610978958
"why",0.000955976811588075
"down",0.000946497813183437
"little",0.000945492464867964
"say",0.000943912631800862
"should",0.000942189177545933
"never",0.0009410402080427
"these",0.000939460374975826
"being",0.000932566557957727
"two",0.000914326667105267
"take",0.000909443546721586
"happy",0.000901831623772303
"night",0.000896230397452531
"things",0.00088474070244141
"many",0.000882299142252219
"those",0.00087296376506049
"best",0.000866644432809674
"most",0.000863484766684909
"something",0.000854436631875449
"made",0.000840218134325122
"before",0.00082829757578008
"week",0.000826717742720408
"can't",0.000825999636784232
"next",0.000819823925734182
"always",0.000813073729937481
"follow",0.000786072946774752
"may",0.00078478035609244
"home",0.000772572555208715
"better",0.000757061467039999
"look",0.0007564869822933
"world",0.00074700798397583
"years",0.000738677955156303
"while",0.000736954500918369
"again",0.000727475502613444
"hope",0.000721443412786386
"through",0.000720150822109508
"long",0.000717422019569835
"feel",0.000711677172119724
"show",0.000698894886552413
"every",0.000698464022994194
"sure",0.000692719175552684
"man",0.000691426584878722
"that's",0.000690995721320764
"thank",0.000689415888275058
"around",0.000682522071350821
"tonight",0.000681803965421449
"thing",0.000672037724786517
"another",0.000667585468029338
"few",0.000657101121479462
"ever",0.000655808530809662
"m",0.00065523404606758
"let",0.000653510591841533
"same",0.000652218001172189
"you're",0.000645036941901126
"d",0.000644175214788949
"oh",0.000641590033452891
"big",0.000640441063970424
"getting",0.000637712261450119
"find",0.000631392929300905
"god",0.000630531202189983
"old",0.000622201173455373
"i've",0.000621913931085355
"school",0.000612722175249842
"does",0.000609275266814121
"game",0.000608844403259759
"keep",0.000605684737195127
"please",0.000601376101654451
"help",0.000598790920331178
"yes",0.000591178997551026
"looking",0.00058988640689101
"use",0.000586583119649769
"days",0.000586152256096671
"own",0.000578253090961166
"doing",0.000574088076620564
"everyone",0.000572364622411397
"give",0.000566476153866745
"morning",0.000565470805579157
"book",0.000556135428630475
"fun",0.000554842837977131
"since",0.000544214870393412
"such",0.000544071249209978
"though",0.000531719827448254
"i'll",0.000531145342715818
"thought",0.000529278267335827
"free",0.000529278267335827
"lot",0.000528416540237589
"friends",0.000518650299800783
"put",0.000516926845607985
"place",0.000516208739694496
"someone",0.000515490633781109
"away",0.000511612861850633
"tell",0.000510607513572866
"wait",0.000509889407660303
"until",0.00050242110617612
"live",0.000497968849527842
"done",0.000489782442153977
"end",0.000489638820972118
"twitter",0.000486766397335964
"bad",0.000486479154972456
"house",0.000486479154972456
"nice",0.00048403759488345
"each",0.000483750352520132
"family",0.000482170519522246
"might",0.000482026898340651
"both",0.000481739655977476
"didn't",0.000481739655977476
"used",0.000480877928888073
"start",0.000480877928888073
"tomorrow",0.000477000156988054
"read",0.000476712914625241
"part",0.000475420323992845
"pretty",0.000471973415641897
"having",0.00047168617327946
"hard",0.000464505114225667
"weekend",0.000461058205884861
"call",0.000458329403450764
"don",0.000457898539908732
"im",0.000449712132620478
"enough",0.000448132299637336
"real",0.000445977981934293
"music",0.000444972633673366
"yet",0.000444972633673366
"went",0.000435206393441208
"try",0.000431615863952026
"making",0.000430754136875277
"actually",0.000429030682722554
"soon",0.000427881713287982
"without",0.000427881713287982
"coming",0.000427019986212359
"play",0.00042558377442024
"awesome",0.000424722047345324
"must",0.00041998254843812
"already",0.000419264442543813
"working",0.00041754098839827
"check",0.000415673913075204
"post",0.000414812186003472
"story",0.000414381322467714
"makes",0.000412514247146931
"w",0.000412514247146931
"stop",0.000411078035362647
"maybe",0.000408780096509504
"nothing",0.000407487505905549
"found",0.000406625778836625
"hey",0.000405189567055763
"haha",0.000405045945877724
"three",0.000404040597631692
"high",0.000401886279963052
"times",0.000400306447007305
"girl",0.00039973196229639
"left",0.000398008508164505
"everything",0.000395997811678955
"trying",0.000395854190501483
"anything",0.000393269009308593
"re",0.000392550903422214
"myself",0.00039125831282733
"bit",0.000390683828118739
"once",0.000388098646931986
"food",0.000382928284568028
"amazing",0.000382497421038284
"person",0.000379337755156327
"kids",0.00037905051280367
"name",0.00037545998339903
"watching",0.000375316362222984
"came",0.000373592908111268
"talk",0.000373018423407711
"miss",0.000370002378716944
"believe",0.000370002378716944
"friend",0.0003697151363657
"guys",0.000369571515190095
"yeah",0.000369427894014501
"different",0.000369140651663346
"anyone",0.000368278924610156
"ready",0.000360810623500044
"money",0.000360810623500044
"wish",0.000360092517625771
"job",0.000356932851782617
"head",0.00035635836708451
"between",0.000356214745910014
"team",0.000356071124735531
"watch",0.0003552093976889
"far",0.000354922155340125
"together",0.000352624216551769
"blog",0.000351188004810734
"point",0.000350182656592792
"set",0.000348602823680198
"top",0.00034716661194289
"remember",0.000346879369595592
"cool",0.000345586779033427
"hear",0.00034501229433949
"least",0.000344294188472381
"change",0.000342283492046342
"saw",0.000341278143834364
"gonna",0.000340416416796086
"started",0.000340416416796086
"heart",0.000340272795623089
"hate",0.000338692962721094
"beautiful",0.000337974856857135
"course",0.000337256750993547
"run",0.000336107781612579
"true",0.000335820539267487
"mean",0.000334384327542932
"city",0.000334240706370559
"called",0.000333809842853536
"room",0.0003319427676147
"told",0.0003319427676147
"says",0.000328639480660165
"mind",0.00032806499597328
"kind",0.000327203268943437
"probably",0.000325767057228337
"state",0.000325192572542758
"took",0.000323181876145329
"wanted",0.000322894633803108
"win",0.00032232014911887
"we're",0.000321027558580331
"party",0.00031829875633691
"full",0.000318155135166379
"ve",0.000316575302291712
"almost",0.000315139090589356
"favorite",0.000315139090589356
"birthday",0.000313415636548934
"friday",0.000311404940171817
"finally",0.000311261319002163
"white",0.000311117697832529
"o",0.000309107001459646
"during",0.00030881975912097
"else",0.000308388895613102
"doesn't",0.000307527168597889
"open",0.000306234578076396
"tweet",0.000304798366387735
"looks",0.000304654745218979
"face",0.000303362154701087
"idea",0.000302644048858527
"whole",0.000302213185353238
"class",0.000301782321848134
"excited",0.000300633352502107
"later",0.000298909898485587
"baby",0.000298335413814094
"small",0.000295606611629229
"following",0.000295319369294441
"seen",0.00029503212695974
"com",0.000294744884625128
"black",0.000293883157621828
"hours",0.000293452294120481
"word",0.000293165051786361
"p",0.000293165051786361
"care",0.00029172884011713
"thinking",0.000291585218950333
"movie",0.000291441597783557
"minutes",0.000290867113116691
"able",0.000290867113116691
"mom",0.000290005386117085
"forward",0.000289143659118321
"second",0.000288281932120406
"side",0.000287707447455605
"past",0.000286845720459122
"fact",0.000286845720459122
"early",0.000286414856961207
"he's",0.000286271235795282
"ago",0.000284978645303069
"against",0.000284404160640502
"season",0.000283542433647395
"water",0.000283398812481964
"stay",0.000283111570151178
"less",0.000282393464324653
"business",0.000281818979663889
"children",0.000280957252673507
"under",0.000280957252673507
"song",0.000280526389178663
"half",0.000279808283354439
"quite",0.000279521041024931
"stuff",0.00027851569287248
"guy",0.00027851569287248
"using",0.000276504996571466
"sorry",0.000276361375407309
"news",0.000275356027258967
"support",0.000273488952129892
"ok",0.000273058088639232
"hit",0.000271191013515966
"reading",0.000270472907700606
"hot",0.000269467559560313
"summer",0.000268174969096322
"others",0.000267887726771314
"enjoy",0.000266595136310253
"taking",0.000266595136310253
"sleep",0.000266595136310253
"sometimes",0.000266020651661672
"words",0.000266020651661672
"ask",0.000265589788175554
"guess",0.00026515892468971
"car",0.000264009955395475
"writing",0.000261999259135348
"playing",0.000261281153329657
"b",0.000260850289846625
"add",0.000260132184042216
"comes",0.000259414078238617
"i'd",0.000259126835917404
"women",0.000258408730114949
"phone",0.000258408730114949
"what's",0.000257690624313319
"means",0.000257547003153093
"wrong",0.000256828897352462
"weeks",0.000254961822274779
"line",0.000254818201115196
"hand",0.000254100095317799
"become",0.000253381989521271
"beer",0.000253094747202904
"month",0.000252951126043774
"feeling",0.000252376641407605
"bring",0.000252089399089733
"however",0.000252089399089733
"seems",0.000251371293295675
"needs",0.000248929733602635
"heard",0.000248068006654684
"glad",0.000247780764338998
"there's",0.000246057310448047
"perfect",0.00024577006813342
"talking",0.000243902993092117
"lost",0.000243615750778655
"n",0.000243615750778655
"couple",0.000243328508465351
"late",0.000243184887308758
"often",0.000242323160370037
"books",0.000241317812276685
"leave",0.000240456085341106
"video",0.00023873263147439
"buy",0.000237583662233255
"along",0.000236578314149491
"gets",0.00023629107184023
"instead",0.000234711239142401
"reason",0.000234567617988314
"red",0.000233705891064731
"young",0.000232987785296306
"goes",0.00023270054298925
"months",0.000232126058375683
"moment",0.000230977089150738
"men",0.000230546225692144
"case",0.000230402604539373
"eat",0.000230402604539373
"group",0.000230258983386648
"share",0.000230258983386648
"asked",0.000230115362233969
"experience",0.00022939725647128
"welcome",0.000229253635318883
"meet",0.000228822771861977
"wow",0.000228822771861977
"light",0.000228822771861977
"sweet",0.000227242939190335
"either",0.000226093969978278
"cut",0.000225806727675755
"rather",0.000225806727675755
"crazy",0.000225806727675755
"hour",0.000225806727675755
"power",0.000225663106524567
"write",0.000225519485373429
"yourself",0.000224945000769375
"number",0.000223077925811761
"list",0.000222503441211153
"easy",0.000221928956611372
"special",0.000221641714311794
"bed",0.000221354472012425
"let's",0.000220923608563766
"sunday",0.000220349123966293
"ur",0.000219774639369673
"public",0.000219487397071684
"saying",0.000219056533625105
"close",0.000218912912476354
"knew",0.000218625670179014
"wanna",0.00021805118558499
"turn",0.00021790756443662
"social",0.000217620322140048
"r",0.000217476700991844
"cause",0.000217476700991844
"hair",0.000217333079843696
"girls",0.000217189458695603
"important",0.000217189458695603
"ya",0.000216471352955975
"order",0.000215896868365283
"woman",0.000215753247217751
"funny",0.000213598930011643
"rest",0.000213598930011643
"isn't",0.00021331168771848
"event",0.00021331168771848
"self",0.000213168066571987
"country",0.000212449960840403
"question",0.000212306339694265
"eyes",0.000212306339694265
"outside",0.000212019097402166
"short",0.000211731855110305
"problem",0.000211588233964465
"local",0.000211444612818685
"body",0.000210439264799919
"c",0.000210008401364219
"seeing",0.000209146674494482
"move",0.000207710463049915
"living",0.00020742322076176
"facebook",0.00020742322076176
"film",0.000207279599617778
"future",0.000206992357330006
"damn",0.000206992357330006
"yesterday",0.000206274251611702
"american",0.000206130630468236
"saturday",0.000206130630468236
"interesting",0.000205987009324835
"art",0.000205699767038227
"loved",0.000205412524751881
"learn",0.000204263555609137
"card",0.000203832692181707
"paper",0.000203401828754881
"understand",0.000202683723044861
"dinner",0.000202540101903062
"four",0.000202109238478075
"sounds",0.000200960269347823
"felt",0.000200960269347823
"media",0.000200816648206855
"decided",0.000199093194520774
"ll",0.000199093194520774
"boy",0.000198662331100867
"matter",0.000198662331100867
"project",0.000198662331100867
"mother",0.000198375088821292
"dont",0.000198087846542008
"e",0.000196938877427817
"wonderful",0.00019650801401122
"running",0.0001960771505953
"send",0.000195502666041796
"christmas",0.000195359044903611
"hell",0.000194928181489513
"break",0.000194353696938458
"super",0.000194210075800888
"definitely",0.000194066454663396
"especially",0.000193491970114207
"walk",0.000193204727840083
"plan",0.000193204727840083
"didn",0.000192486622156159
"fall",0.000192343001019613
"green",0.000192055758746761
"email",0.000191912137610455
"child",0.000191337653066041
"chance",0.000189901441710718
"haven't",0.000189183336036162
"behind",0.000189183336036162
"online",0.000188896093766927
"pay",0.000188896093766927
"waiting",0.000188752472632437
"worth",0.000187316261292215
"okay",0.000187316261292215
"wants",0.000187172640158666
"meeting",0.000187029019025204
"happen",0.000187029019025204
"tv",0.000186741776758541
"given",0.00018659815562534
"monday",0.000186454534492227
"pick",0.000186310913359202
"series",0.000186167292226265
"won",0.000186023671093416
"gone",0.000185736428827984
"store",0.000185018323165961
"picture",0.00018444383863796
"front",0.00018444383863796
"company",0.000184156596374503
"won't",0.000184156596374503
"students",0.00018386935411141
"several",0.000182720385062719
"area",0.000182720385062719
"games",0.000182433142801475
"www",0.000182145900540606
"omg",0.000181284173760266
"jesus",0.000181284173760266
"town",0.000181284173760266
"wasn't",0.000180422446983367
"needed",0.000179991583596222
"visit",0.000179847962467368
"community",0.000179704341338613
"office",0.000179704341338613
"weather",0.000179129856824574
"fan",0.000179129856824574
"gave",0.000178842614568147
"coffee",0.000178698993440083
"john",0.000178411751184255
"they're",0.000178411751184255
"page",0.000178411751184255
"tried",0.000178124508928827
"parents",0.000177550024419182
"single",0.000177119161038015
"fans",0.000176975539911164
"service",0.000176544676531227
"history",0.000176113813152222
"deal",0.000175682949774154
"lives",0.000175682949774154
"looked",0.000175252086397031
"street",0.00017410311739604
"rock",0.000173815875146866
"lots",0.000173672254022441
"taken",0.000172954148401951
"forget",0.000172954148401951
"works",0.000172666906154524
"five",0.000172666906154524
"gotta",0.000172236042784212
"happened",0.000172236042784212
"followers",0.000171517937169257
"luck",0.000170943452679321
"spring",0.000169794483704937
"congrats",0.000169650862583658
"hi",0.000169363620341452
"sense",0.000168358272497435
"trip",0.000168071030257356
"lunch",0.000167640166898137
"starting",0.000167352924659261
"sound",0.000167352924659261
"son",0.000166922061301859
"wonder",0.000166634819064201
"church",0.000165773092354191
"law",0.000165629471236292
"center",0.000165342229000868
"system",0.000165198607883345
"death",0.000164911365648677
"mine",0.000164911365648677
"sad",0.000164911365648677
"including",0.000164336881180868
"giving",0.000164193260064235
"large",0.000163618775598992
"human",0.000163475154483005
"across",0.000163331533367149
"mr",0.000163331533367149
"huge",0.000162757048905032
"information",0.000161895322215823
"door",0.000161608079987155
"st",0.000161464458873023
"ha",0.000161464458873023
"park",0.000161177216645165
"inside",0.000161033595531439
"fine",0.000161033595531439
"join",0.000160171868851961
"dead",0.000160028247739197
"college",0.000160028247739197
"cold",0.000160028247739197
"government",0.000160028247739197
"within",0.000159453763289533
"seriously",0.000158735657730613
"turned",0.000158592036619254
"cute",0.000158448415508038
"takes",0.000158017552175248
"although",0.000157873931064607
"we'll",0.000157730309954109
"based",0.000157586688843757
"possible",0.000157586688843757
"national",0.000157299446623488
"she's",0.000157299446623488
"seem",0.000157299446623488
"road",0.000157012204403804
"ones",0.000156868583294183
"space",0.000156581341075382
"dog",0.000156581341075382
"available",0.000156150477748293
"busy",0.000156006856639562
"la",0.000155719614422549
"longer",0.00015528875109816
"health",0.000155145129990334
"final",0.000155145129990334
"blue",0.000154283403346589
"totally",0.000153565297814391
"finished",0.000153421676708421
"site",0.000153278055602608
"voice",0.000152559950075922
"knows",0.000152416328971063
"listen",0.000151267360138017
"simply",0.00015098011793139
"drive",0.000150549254622689
"questions",0.000150262012417721
"cannot",0.000150262012417721
